blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
0.671470705,0.0411495,0.02525,2.925179617,0.027754272,1.071,3.4,0.881,11,5.4,6.26
19.61063687,9.365507,0.0574,2.132,0.401307215,2.289,0.45,15.64975,0.531,1,1.03
0.0474615,0.31230275,0.0224,19.13644237,0.145277268,0.826,1.2,2.153,1.38,1.1,5.94
0.039491067,0.095567075,0.002180435,333.669029,0.001581381,0.811,0.774526409,16.505,0.872,5.3,0.743
0.772119,0.6715815,0.0448,10.3161665,1,1.202,1.1,1.413,3.02,2.8,2.5
1.296223853,0.44035812,0.0174,2.925179617,1,3.519666667,1.297697516,0.7895,0.915,1.8,0.821
0.55898975,0.659945,0.002,1.488299509,1,0.992,0.5,2.38,2.28,1.4,4.75
0.006254,0.255111111,0.0006,15.28,0.200892381,1.497,1.409487301,1.072,1.06,2.4,1.52
0.1635065,0.1085725,0.0042,0.214162855,0.176401876,0.70975,1.1,1.0475,1.54,1,7.27
1.213578,0.5879465,0.0098,2.6785,1,2.50925,1,2.063,2.3,2.5,3.94
1.465532667,0.2519065,0.0035,3.027,0.300839041,2.937,1.4,14.9945,8.19,15,2.38
0.019255556,0.039169,0.0137,6.451,0.183750506,0.785,0.493185648,1.7685,0.482,1.8,0.924
1.500222222,2.397,0.0269,7.132,0.491798706,2.61,1.358777679,9.583,2.55,5.7,1.16
0.34172875,1.6103,0.0164,1.732316581,0.186058136,0.978,2.215945685,17.388,2.07,20,1.62
0.064577778,0.129622222,0.004063636,0.694,1,0.949,0.643998042,2.23,0.819,2.1,1.36
2.872122769,0.3954086,0.01,11.19790331,0.062304632,5.328,0.970178494,32.509,1.66,1.8,1.14
6.7601255,0.05798475,0.0503,22.65324031,0.191771777,17.286,9.1,5.678,10.5,2.7,2.49
0.0532,0.1442,0.0314,9.52,1,1.4635,1.374569526,1.411,0.82,1.6,3.99
0.1017,0.00882,0.0273,18.95708744,1,8.103666667,7.25,2.086,4.71,0.94,3.84
2.4467,0.05798475,0.0516,9.554,0.780990253,1.544,0.73713283,0.977,0.952,1.7,0.976
0.203773,0.260899,0.004,1.385652636,0.291931211,1.051,0.9,0.774,1.43,1.1,5.37
0.047023333,0.072788889,0.0968,22.65324031,0.661449517,0.713555556,0.511890407,2.159933333,0.861,4.6,1.21
0.5627415,0.053983333,0.077,3.588729305,1,3.574,1.6895,1.072,3.65,3.2,2.12
1.296223853,0.143666667,0.0123,5.56,0.123425405,5.328,1.8555,13.798,3.11,11,1.34
2.2,0.20987,0.0641,15.77731563,0.104101255,10.883,7.338125589,0.716,20.6,0.86,2.81
2.5719,2.0688185,0.0208,1.017,0.541718548,2.1105,5.145,0.8295,11.9,2,0.817
6.961111111,9.706666667,0.0474,1.773598397,0.426206881,0.6545,1.25,0.9555,0.951,0.89,2.96
0.316777778,0.219003,0.0328,5.853232955,0.694389628,1.443,3.056991689,0.66,1.43,0.7,2.27
0.10251,0.07869,0.2493,36.56793755,0.523329388,2.006,3.824,0.831,2.72,0.68,0.712
0.712666667,0.2154,0.0188,2.068773746,0.274665496,34.8455,26.372,5.247,38.9,3.7,0.554
